Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
cutmix_k_test,noise,ptv1,background,1,0.7516207455429498,0.6897906976744186
cutmix_k_test,noise,ptv1,background,2,0.7240680713128039,0.6561744186046512
cutmix_k_test,noise,ptv1,background,3,0.6944894651539708,0.6355465116279071
cutmix_k_test,noise,ptv1,background,4,0.630064829821718,0.5732790697674419
cutmix_k_test,noise,ptv1,background,5,0.4141004862236629,0.3586744186046512
cutmix_k_test,density,ptv1,cutout,1,0.8987034035656402,0.8600406976744186
cutmix_k_test,density,ptv1,cutout,2,0.8978930307941653,0.8600058139534884
cutmix_k_test,density,ptv1,cutout,3,0.88290113452188,0.8424244186046511
cutmix_k_test,density,ptv1,cutout,4,0.8816855753646677,0.8412093023255813
cutmix_k_test,density,ptv1,cutout,5,0.8581847649918962,0.8148023255813953
cutmix_k_test,density,ptv1,density,1,0.893030794165316,0.856546511627907
cutmix_k_test,density,ptv1,density,2,0.8918152350081038,0.8519651162790698
cutmix_k_test,density,ptv1,density,3,0.8711507293354943,0.8278837209302325
cutmix_k_test,density,ptv1,density,4,0.8610210696920584,0.8157674418604651
cutmix_k_test,density,ptv1,density,5,0.8358995137763371,0.7871802325581395
cutmix_k_test,density,ptv1,density_inc,1,0.8869529983792545,0.8510930232558138
cutmix_k_test,density,ptv1,density_inc,2,0.8877633711507293,0.8478023255813953
cutmix_k_test,density,ptv1,density_inc,3,0.8897893030794165,0.8488779069767443
cutmix_k_test,density,ptv1,density_inc,4,0.8812803889789304,0.8418779069767443
cutmix_k_test,density,ptv1,density_inc,5,0.8727714748784441,0.8255116279069767
cutmix_k_test,transform,ptv1,distortion,1,0.7751215559157212,0.7049244186046512
cutmix_k_test,transform,ptv1,distortion,2,0.7811993517017828,0.715796511627907
cutmix_k_test,transform,ptv1,distortion,3,0.7775526742301458,0.7115
cutmix_k_test,transform,ptv1,distortion,4,0.7662074554294975,0.7007093023255814
cutmix_k_test,transform,ptv1,distortion,5,0.7281199351701783,0.6710581395348838
cutmix_k_test,transform,ptv1,distortion_rbf,1,0.7706645056726094,0.7058430232558139
cutmix_k_test,transform,ptv1,distortion_rbf,2,0.7763371150729336,0.7038313953488372
cutmix_k_test,transform,ptv1,distortion_rbf,3,0.7820097244732577,0.7132093023255814
cutmix_k_test,transform,ptv1,distortion_rbf,4,0.7949756888168558,0.7269883720930232
cutmix_k_test,transform,ptv1,distortion_rbf,5,0.7686385737439222,0.6980406976744187
cutmix_k_test,transform,ptv1,distortion_rbf_inv,1,0.7747163695299838,0.6989709302325581
cutmix_k_test,transform,ptv1,distortion_rbf_inv,2,0.7811993517017828,0.7188837209302326
cutmix_k_test,transform,ptv1,distortion_rbf_inv,3,0.7791734197730956,0.716453488372093
cutmix_k_test,transform,ptv1,distortion_rbf_inv,4,0.7783630470016207,0.7081627906976744
cutmix_k_test,transform,ptv1,distortion_rbf_inv,5,0.7698541329011345,0.71175
cutmix_k_test,noise,ptv1,gaussian,1,0.8950567260940032,0.8554244186046512
cutmix_k_test,noise,ptv1,gaussian,2,0.8922204213938412,0.8433372093023255
cutmix_k_test,noise,ptv1,gaussian,3,0.8824959481361426,0.8292558139534882
cutmix_k_test,noise,ptv1,gaussian,4,0.8691247974068071,0.8111337209302325
cutmix_k_test,noise,ptv1,gaussian,5,0.8326580226904376,0.7541860465116279
cutmix_k_test,noise,ptv1,impulse,1,0.7532414910858996,0.6722848837209302
cutmix_k_test,noise,ptv1,impulse,2,0.7447325769854133,0.6696569767441861
cutmix_k_test,noise,ptv1,impulse,3,0.7151539708265803,0.63425
cutmix_k_test,noise,ptv1,impulse,4,0.6790923824959482,0.5913837209302325
cutmix_k_test,noise,ptv1,impulse,5,0.5984602917341977,0.49331976744186046
cutmix_k_test,density,ptv1,lidar,1,0.25810372771474877,0.25161627906976747
cutmix_k_test,density,ptv1,lidar,2,0.3018638573743922,0.2842441860465116
cutmix_k_test,density,ptv1,lidar,3,0.2787682333873582,0.25225
cutmix_k_test,density,ptv1,lidar,4,0.260129659643436,0.24299999999999997
cutmix_k_test,density,ptv1,lidar,5,0.2491896272285251,0.23715697674418604
cutmix_k_test,density,ptv1,occlusion,1,0.3857374392220421,0.408610465116279
cutmix_k_test,density,ptv1,occlusion,2,0.40153970826580226,0.4088430232558139
